id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Empty Hallways,Greystone,classical,sad,0.22,58,0.18,0.28,0.97
12,Block Party,Krave,hip-hop,energetic,0.88,95,0.76,0.91,0.09
13,Velvet Underground,Sable Tone,r&b,romantic,0.55,104,0.82,0.72,0.43
14,Thunderclap,Iron Hollow,metal,intense,0.97,168,0.21,0.44,0.04
15,Porch Swing Summer,Dusty Wade,country,relaxed,0.48,96,0.74,0.63,0.82
16,Pulse Grid,Binary Drift,electronic,energetic,0.86,140,0.62,0.93,0.03
17,Fading Letters,Mara Voss,classical,sad,0.18,52,0.14,0.22,0.99
18,Slow Burn,Cadence Blue,r&b,moody,0.61,88,0.45,0.68,0.38
19,Dirt Road Gold,Lone Prairie,country,happy,0.64,108,0.88,0.71,0.76
